id,Location IG Handle 
nPHo1Ql9AKtCsXfl-QSbdA,medicalskinaesthetics 
y25g0m3iGR1Zq_n3T8kpzw,studioabasiskincare 
_TaZubBKZgb6xlksszlYag,skinsciencemedspa 
9NtCJeJnsXimshZp_77mNw,skinspirit 
jLD53Dh1b27tCq1RzMLN7g,dermaplus 
lXyrkpLhZ2NmeGZ1gj5Uvw,clinicallyclear_skin 
TEa7D2Kt6qGvUz0AXCdtbw,medspa_ca 
XUzhbzn3v36ng-9zg7I7Vw,skinrefinemedspa 
5AmOchepw8w-tSBpU7TFzQ,serenitymedspasf 
8FO-0H2Z7htjs-PxiezRlw,gentlestarsf 
4deH_SJic5mhCsjQ7jHbvA,encoremedspa
jXv8yzb94JrkDOKVK9LsaA,nubospa 
JML83KHCyuPMPq-3glfg5w,revivmedicalspa 
ItHCfM391YdM591aNy7-iw,aribamedspa 
CRIctzU0fy2PZx1uWTM_lA,evaluermedspa 
7k-XI09ijJ5EYQlqERNnDA,beautybymorpheus 
OmRh1NVqe7ObR6g1DrQ49g,emgmedspa 
tbTProzse0tAsw0gmMi-yg,luminaskin 
nDcCtcTN4yYVTwrnJCUszA,icecreamderm 
rSHuIuHMCa1TgWWcnrezeQ,aryaderm 
9GZiwehGTrWy_ccs2yyaow,bayareacosmeticdermatology 
HqaANiKO5Xy0bPgTI5zjNg,unionsquaresf 
IHdelqFRBdoUmhHTgKj11w,aestheticlaserskincare 
o-2tbMzXulct8FAc3OhzZQ,drwilliamting        
q7g9SL1IX68boeERP8WG1Q,goldenstatedermatology 
y9OPK-sAL47b5WKParqhAg,pleasantondermatology
ra4fhdsz_OCPQP0OXB6Qow,zand.dermatology 
jJZr_mpNXeIp9zhT41FYUA,mybeautymd 
YgoYEwJH2MrYz14So42TvA,dr.tomileewall 